iter	Passed	Remaining
0	9	2905
1	17	2622
2	27	2743
3	35	2662
4	44	2620
5	53	2634
6	61	2589
7	66	2438
8	76	2468
9	81	2356
10	91	2397
11	97	2344
12	103	2279
13	108	2222
14	112	2132
15	115	2044
16	118	1969
17	122	1914
18	129	1910
19	132	1856
20	138	1846
21	143	1807
22	146	1766
23	150	1730
24	157	1735
25	164	1728
26	167	1697
27	178	1730
28	182	1708
29	189	1705
30	196	1702
31	200	1679
32	214	1737
33	225	1764
34	229	1738
35	234	1718
36	245	1746
37	255	1759
38	266	1780
39	274	1783
40	280	1774
41	285	1754
42	291	1741
43	295	1716
44	298	1692
45	303	1673
46	306	1651
47	310	1627
48	313	1607
49	320	1604
50	325	1588
51	329	1572
52	338	1578
53	346	1578
54	354	1577
55	361	1573
56	370	1578
57	374	1563
58	378	1547
59	386	1545
60	393	1540
61	400	1539
62	409	1539
63	419	1545
64	426	1541
65	436	1546
66	440	1532
67	449	1532
68	472	1582
69	484	1593
70	488	1575
71	494	1564
72	507	1577
73	518	1583
74	524	1573
75	533	1571
76	538	1558
77	543	1545
78	550	1538
79	553	1522
80	558	1510
81	562	1495
82	566	1480
83	569	1463
84	573	1450
85	579	1441
86	583	1429
87	587	1414
88	594	1408
89	599	1397
90	604	1389
91	610	1379
92	614	1368
93	618	1355
94	621	1341
95	624	1327
96	628	1314
97	630	1300
98	634	1287
99	637	1275
100	641	1263
101	645	1253
102	648	1240
103	651	1228
104	655	1216
105	658	1204
106	661	1192
107	664	1180
108	667	1168
109	670	1157
110	673	1146
111	676	1135
112	679	1124
113	682	1113
114	685	1102
115	688	1091
116	691	1082
117	695	1072
118	698	1062
119	701	1052
120	704	1041
121	707	1032
122	710	1022
123	713	1012
124	716	1002
125	719	993
126	722	983
127	725	974
128	728	965
129	731	956
130	734	947
131	737	938
132	740	929
133	743	920
134	746	911
135	749	903
136	752	894
137	755	886
138	758	877
139	760	869
140	763	861
141	766	853
142	769	845
143	772	837
144	775	829
145	779	821
146	781	813
147	785	806
148	788	798
149	791	791
150	793	783
151	797	776
152	800	769
153	803	762
154	807	754
155	809	747
156	812	740
157	815	733
158	819	726
159	822	719
160	825	712
161	828	705
162	831	698
163	834	691
164	837	684
165	840	678
166	843	671
167	846	665
168	849	658
169	853	653
170	856	646
171	859	639
172	863	633
173	866	627
174	869	620
175	872	614
176	874	608
177	878	601
178	881	595
179	884	589
180	887	583
181	890	577
182	893	571
183	896	565
184	899	559
185	902	553
186	905	547
187	908	541
188	911	535
189	914	529
190	917	523
191	921	518
192	923	512
193	926	506
194	930	500
195	933	495
196	936	489
197	939	483
198	942	478
199	944	472
200	947	466
201	950	461
202	954	455
203	957	450
204	960	445
205	963	439
206	966	434
207	969	428
208	972	423
209	975	418
210	978	412
211	981	407
212	984	402
213	987	396
214	990	391
215	993	386
216	996	381
217	1000	376
218	1003	370
219	1006	365
220	1009	360
221	1012	355
222	1014	350
223	1017	345
224	1020	340
225	1023	335
226	1026	330
227	1029	325
228	1032	320
229	1035	315
230	1038	310
231	1041	305
232	1044	300
233	1047	295
234	1050	290
235	1053	285
236	1056	280
237	1059	276
238	1062	271
239	1065	266
240	1068	261
241	1071	256
242	1075	252
243	1078	247
244	1081	242
245	1084	237
246	1087	233
247	1090	228
248	1093	223
249	1096	219
250	1099	214
251	1102	210
252	1105	205
253	1108	200
254	1111	196
255	1115	191
256	1118	187
257	1121	182
258	1124	177
259	1127	173
260	1130	168
261	1133	164
262	1137	159
263	1140	155
264	1143	150
265	1146	146
266	1149	142
267	1153	137
268	1156	133
269	1159	128
270	1162	124
271	1164	119
272	1168	115
273	1171	111
274	1179	107
275	1184	103
276	1198	99
277	1206	95
278	1234	92
279	1253	89
280	1269	85
281	1310	83
282	1326	79
283	1341	75
284	1346	70
285	1378	67
286	1394	63
287	1409	58
288	1416	53
289	1435	49
290	1442	44
291	1449	39
292	1462	34
293	1470	30
294	1476	25
295	1479	19
296	1483	14
297	1492	10
298	1496	5
299	1504	0
